"Data";"AP_1.0";"AP_2.1";"AP_2.2";"AP_3.1";"AP_3.2";"AP_3.3";"AP_4.0";"AP_5.1";"AP_5.2";"AP_5.3"
"1999-09";104,666;70,61782;102,1946;70,53353;88,7918;86,34263;100,6426;98,49124;113,8388;104,9897
"1999-10";99,85241;81,12717;100,9129;71,47053;94,50189;75,0756;98,88434;83,03233;126,4503;128,6111
"1999-11";136,77;130,6421;146,0746;81,97543;119,0308;87,17414;119,1105;116,4414;123,3742;130,2884
"1999-12";172,3806;170,5917;175,089;100,8787;143,6526;112,2482;155,6565;154,5983;160,0931;167,6044
"2000-01";177,95;179,0471;206,3476;128,1691;170,687;157,6842;193,0154;182,0288;195,4699;227,9482
"2000-02";154,4519;137,6828;153,3725;106,2853;122,9483;118,3176;140,7512;126,1594;137,4019;137,1225
"2000-03";153,3188;130,7107;153,0313;114,9754;129,5339;122,8169;142,4404;163,7165;149,3925;162,061
"2000-04";85,75978;65,7289;82,06274;49,67301;63,62717;48,99323;69,25211;69,22902;65,51109;61,62497
"2000-05";68,80081;48,17748;67,41946;37,94471;48,5225;38,3353;49,8121;49,42856;40,79559;34,64021
"2000-06";24,71351;17,58303;26,47979;11,20252;16,74306;9,669436;14,89368;11,45088;10,97617;9,414933
"2000-07";138,5797;100,1629;133,3564;61,73626;91,88036;62,40578;99,66869;85,97456;87,21056;73,48628
"2000-08";177,2919;114,8804;172,8614;96,16539;132,4359;94,55743;117,0798;107,4288;96,11108;84,45572
"2000-09";214,958;139,5388;198,1357;137,3431;173,4857;146,191;174,5662;155,3736;172,3807;156,5989
"2000-10";77,03779;62,0817;72,77938;58,63707;68,23411;60,15179;69,46278;63,2793;68,82829;63,1404
"2000-11";147,8711;140,4656;156,6319;91,31783;132,4107;109,3309;150,5329;153,4468;169,2847;177,0102
"2000-12";189,4232;176,0777;199,3931;127,1391;173,8767;145,3876;178,0824;184,7397;171,3807;188,8372
"2001-01";97,34645;94,22192;101,6323;71,9069;85,33593;85,13723;97,06022;109,2514;100,5838;113,4278
"2001-02";100,1286;81,62537;103,662;82,356;97,34061;98,68246;108,1968;135,8813;137,8642;164,3033
"2001-03";202,0594;176,0632;215,5261;162,3665;187,5863;171,0053;194,8032;213,0706;173,6216;166,6518
